experiment,model,task_count,concurrency,delay_ms,repeat_id,wall_time_s,throughput_ops,avg_cpu_percent,peak_rss_mb
sleep_io,threadpool,100,300,10,1,0.024181499999031075,4135.39275909298,0.0,71.37890625
sleep_io,asyncio,100,100,10,1,0.020460199999433826,4887.537756364415,0.0,72.5625
sleep_io,threadpool,1000,300,10,1,0.07359990000077232,13586.97498216039,49.85,95.5078125
sleep_io,asyncio,1000,1000,10,1,0.025511499999993248,39198.008741166326,0.0,74.546875
sleep_io,threadpool,5000,300,10,1,0.24461369999880844,20440.39234116632,55.02,104.23828125
sleep_io,asyncio,5000,5000,10,1,0.046476800000164076,107580.55632019305,0.0,79.6015625
sleep_io,threadpool,10000,300,10,1,0.46301990000029036,21597.34387224767,52.766666666666666,114.6328125
sleep_io,asyncio,10000,10000,10,1,0.1176075999992463,85028.51856567165,50.4,85.9140625
sleep_io,threadpool,100,300,50,1,0.08218400000077963,1216.7818553374302,33.25,93.40625
sleep_io,asyncio,100,100,50,1,0.055078299999877345,1815.5970681778974,16.6,86.2578125
sleep_io,threadpool,1000,300,50,1,0.22282880000057048,4487.750236941723,31.619999999999997,108.41015625
sleep_io,asyncio,1000,1000,50,1,0.07286580000072718,13723.859478521066,16.6,86.48046875
sleep_io,threadpool,5000,300,50,1,0.8971659999988333,5573.104642849264,19.38888888888889,111.3515625
sleep_io,asyncio,5000,5000,50,1,0.0915683999992325,54603.99002321662,25.2,86.56640625
sleep_io,threadpool,10000,300,50,1,1.7540014000005613,5701.24972534047,18.3,114.73046875
sleep_io,asyncio,10000,10000,50,1,0.14844450000055076,67365.2442492844,50.4,87.7578125
sleep_io,threadpool,100,300,100,1,0.11338579999937792,881.944652686215,0.0,93.22265625
sleep_io,asyncio,100,100,100,1,0.10612760000003618,942.261956361643,0.0,86.41015625
sleep_io,threadpool,1000,300,100,1,0.42178229999990435,2370.8913342267488,20.355555555555558,108.5625
sleep_io,asyncio,1000,1000,100,1,0.12299890000031155,8130.154009486809,8.4,86.875
sleep_io,threadpool,5000,300,100,1,1.7395977999985917,2874.2275944497333,7.38,111.2265625
sleep_io,asyncio,5000,5000,100,1,0.1358264999998937,36811.66782626301,11.066666666666668,86.796875
sleep_io,threadpool,10000,300,100,1,3.4462886000001163,2901.672251128261,7.482352941176471,114.9296875
sleep_io,asyncio,10000,10000,100,1,0.1946301999996649,51379.48786990517,37.45,89.28125
sleep_io,threadpool,100,300,10,2,0.024370099999941885,4103.388988975772,0.0,89.29296875
sleep_io,asyncio,100,100,10,2,0.0010570000013103709,94607.37925830581,0.0,88.51171875
sleep_io,threadpool,1000,300,10,2,0.08795899999859103,11368.933253174986,49.85,103.9921875
sleep_io,asyncio,1000,1000,10,2,0.008348600000317674,119780.56200583917,0.0,87.68359375
sleep_io,threadpool,5000,300,10,2,0.28667119999954593,17441.58464473557,66.64999999999999,112.08203125
sleep_io,asyncio,5000,5000,10,2,0.05159490000005462,96908.80300174448,0.0,87.5390625
sleep_io,threadpool,10000,300,10,2,0.48479199999928824,20627.403092490556,99.92222222222222,115.64453125
sleep_io,asyncio,10000,10000,10,2,0.13226460000078077,75606.02005329444,66.83333333333333,89.9296875
sleep_io,threadpool,100,300,50,2,0.06861940000089817,1457.3138208537393,12.6,96.33984375
sleep_io,asyncio,100,100,50,2,0.06164129999888246,1622.2889524038749,0.0,89.140625
sleep_io,threadpool,1000,300,50,2,0.231304299999465,4323.309164604,25.080000000000002,111.4453125
sleep_io,asyncio,1000,1000,50,2,0.060178399999131216,16617.25801972862,0.0,88.890625
sleep_io,threadpool,5000,300,50,2,0.8953051999997115,5584.687769044133,22.211111111111112,113.5234375
sleep_io,asyncio,5000,5000,50,2,0.10595740000098886,47188.7758660871,50.95,89.01171875
sleep_io,threadpool,10000,300,50,2,1.7653829999999289,5664.493200625815,31.908571428571427,115.05859375
sleep_io,asyncio,10000,10000,50,2,0.1536632000006648,65077.39003194478,50.199999999999996,90.45703125
sleep_io,threadpool,100,300,100,2,0.11684400000012829,855.8419773363647,11.066666666666668,96.16015625
sleep_io,asyncio,100,100,100,2,0.10459809999883873,956.0403104942653,0.0,90.03125
sleep_io,threadpool,1000,300,100,2,0.4219063999989885,2370.19395771763,29.633333333333333,110.66015625
sleep_io,asyncio,1000,1000,100,2,0.13655839999955788,7322.8743160672475,11.066666666666668,90.22265625
sleep_io,threadpool,5000,300,100,2,1.7498325999986264,2857.4161894137333,13.091428571428573,111.46484375
sleep_io,asyncio,5000,5000,100,2,0.1533194999992702,32611.63778921664,33.233333333333334,88.8125
sleep_io,threadpool,10000,300,100,2,3.452875099999801,2896.1371930309833,8.992647058823529,115.48046875
sleep_io,asyncio,10000,10000,100,2,0.19130330000007234,52273.01358625919,42.225,90.4296875
sleep_io,threadpool,100,300,10,3,0.030024399999092566,3330.624425567949,0.0,90.4296875
sleep_io,asyncio,100,100,10,3,0.01950310000029276,5127.390004588958,0.0,89.3046875
sleep_io,threadpool,1000,300,10,3,0.08182139999917126,12221.741500513663,63.0,106.5234375
