experiment,model,task_count,concurrency,delay_ms,repeat_id,wall_time_s,throughput_ops,avg_cpu_percent,peak_rss_mb
http_local,threadpool_requests,100,200,10,1,0.07609460000094259,1314.1536981436434,63.0,91.0859375
http_local,asyncio_aiohttp,100,100,10,1,0.03378359999987879,2960.0161024982176,0.0,88.375
http_local,threadpool_requests,1000,200,10,1,0.687428599998384,1454.6965313959163,151.12307692307692,113.80859375
http_local,asyncio_aiohttp,1000,1000,10,1,0.12849699999969744,7782.282854870967,69.13333333333334,101.1796875
http_local,threadpool_requests,3000,200,10,1,2.0622538999996323,1454.719033384073,137.67222222222222,121.08984375
http_local,asyncio_aiohttp,3000,3000,10,1,0.33568540000123903,8936.93916979686,84.61666666666666,114.99609375
http_local,threadpool_requests,100,200,50,1,0.12670090000028722,789.2603762070618,105.46666666666665,113.5390625
http_local,asyncio_aiohttp,100,100,50,1,0.08412330000101065,1188.7313027282407,16.6,112.0703125
http_local,threadpool_requests,1000,200,50,1,0.7612344999997731,1313.6556475045443,116.53999999999999,130.1171875
http_local,asyncio_aiohttp,1000,1000,50,1,0.7169274000007135,1394.8413744529846,8.933333333333334,113.25
http_local,threadpool_requests,3000,200,50,1,2.154525300000387,1392.4180885689582,134.35789473684213,133.0546875
http_local,asyncio_aiohttp,3000,3000,50,1,2.023577699999805,1482.5227615427314,4.5725,115.32421875
http_local,threadpool_requests,100,200,100,1,0.17094900000120106,584.9697863064272,91.39999999999999,114.203125
http_local,asyncio_aiohttp,100,100,100,1,0.1472978999991028,678.896304703659,11.066666666666668,112.51953125
http_local,threadpool_requests,1000,200,100,1,0.8131628999999521,1229.76589315629,101.21333333333334,131.5
http_local,asyncio_aiohttp,1000,1000,100,1,1.1546175000003132,866.0876870476403,3.2347826086956526,113.40234375
http_local,threadpool_requests,3000,200,100,1,2.573250800000096,1165.8405002729962,127.8,133.42578125
http_local,asyncio_aiohttp,3000,3000,100,1,3.546362199998839,845.9372818718241,5.264285714285714,115.63671875
http_local,threadpool_requests,100,200,10,2,0.09581430000071123,1043.6855458867592,66.5,110.36328125
http_local,asyncio_aiohttp,100,100,10,2,0.030561300000044866,3272.112115644727,0.0,106.8984375
http_local,threadpool_requests,1000,200,10,2,0.6724892000002001,1487.0127282337062,126.91538461538462,129.8203125
http_local,asyncio_aiohttp,1000,1000,10,2,0.13524469999902067,7394.005088607843,58.4,113.80078125
http_local,threadpool_requests,3000,200,10,2,2.036159699999189,1473.3618389565393,148.58857142857144,132.15234375
http_local,asyncio_aiohttp,3000,3000,10,2,0.3304497999997693,9078.534772912843,84.83333333333333,115.53125
http_local,threadpool_requests,100,200,50,2,0.10947940000005474,913.4138477188403,97.06666666666666,113.87890625
http_local,asyncio_aiohttp,100,100,50,2,0.08426470000085828,1186.736557526241,16.6,112.53515625
http_local,threadpool_requests,1000,200,50,2,0.774884700000257,1290.514575910027,111.26,129.9140625
http_local,asyncio_aiohttp,1000,1000,50,2,0.7106137999999191,1407.234140401036,9.457142857142857,113.55859375
http_local,threadpool_requests,3000,200,50,2,2.1213846999999078,1414.1706593811723,147.70555555555555,132.609375
http_local,asyncio_aiohttp,3000,3000,50,2,2.022438100000727,1483.3581309603105,18.5425,115.67578125
http_local,threadpool_requests,100,200,100,2,0.15166169999974954,659.3622516440548,62.125,115.36328125
http_local,asyncio_aiohttp,100,100,100,2,0.14488299999902665,690.2121021836366,16.8,113.0390625
http_local,threadpool_requests,1000,200,100,2,0.8013524999987567,1247.8902854880362,121.5,131.734375
http_local,asyncio_aiohttp,1000,1000,100,2,1.1574421000004804,863.9741028942916,4.430434782608696,113.9453125
http_local,threadpool_requests,3000,200,100,2,2.6360855999992054,1138.0510557020243,137.85652173913041,132.72265625
http_local,asyncio_aiohttp,3000,3000,100,2,3.5172638000003644,852.9357394232668,7.368115942028986,115.87109375
http_local,threadpool_requests,100,200,10,3,0.07835679999880085,1276.2134237428068,62.0,110.58984375
http_local,asyncio_aiohttp,100,100,10,3,0.03744339999866497,2670.6976397326484,0.0,107.26953125
http_local,threadpool_requests,1000,200,10,3,0.689541100000497,1450.239876925798,141.62142857142857,129.99609375
http_local,asyncio_aiohttp,1000,1000,10,3,0.15046830000028422,6645.918110313675,50.13333333333333,113.7265625
http_local,threadpool_requests,3000,200,10,3,2.0387419999988197,1471.4956576171662,154.4542857142857,132.61328125
http_local,asyncio_aiohttp,3000,3000,10,3,0.33739630000127363,8891.620921713355,82.01666666666667,115.63671875
http_local,threadpool_requests,100,200,50,3,0.11987849999968603,834.1779384982453,66.73333333333333,114.80859375
http_local,asyncio_aiohttp,100,100,50,3,0.10007279999990715,999.2725295993795,33.25,114.30078125
http_local,threadpool_requests,1000,200,50,3,0.7605029999995168,1314.9192047902973,125.58,131.08984375
http_local,asyncio_aiohttp,1000,1000,50,3,0.6984888999995746,1431.661977735951,11.328571428571427,114.3359375
http_local,threadpool_requests,3000,200,50,3,2.152493099998537,1393.7326907120114,142.20857142857145,133.62890625
http_local,asyncio_aiohttp,3000,3000,50,3,2.0506430999994336,1462.9556942409083,26.195121951219512,115.9453125
http_local,threadpool_requests,100,200,100,3,0.1688404000014998,592.2753085109471,67.75,114.76171875
http_local,asyncio_aiohttp,100,100,100,3,0.1454107000008662,687.707300765379,22.166666666666668,114.5
http_local,threadpool_requests,1000,200,100,3,0.8288935000000492,1206.4276049938148,143.9375,132.5078125
http_local,asyncio_aiohttp,1000,1000,100,3,1.177820700000666,849.0256623944838,11.070833333333335,114.83203125
http_local,threadpool_requests,3000,200,100,3,2.6535711000015,1130.5519569452292,132.7,133.8828125
http_local,asyncio_aiohttp,3000,3000,100,3,3.484974899998633,860.8383377456109,9.055882352941177,116.23828125
